"raw","day","dd.mm","home.team","away.team","home.score","away.score"
"  LA Galaxy               2-0  Chicago Fire","Fri","06.03","LA Galaxy","Chicago Fire",2,0
"  D.C. United             1-0  Montreal Impact","Sat","07.03","D.C. United","Montreal Impact",1,0
"  Philadelphia Union      0-0  Colorado Rapids","Sat","07.03","Philadelphia Union","Colorado Rapids",0,0
"  Vancouver Whitecaps FC  1-3  Toronto FC","Sat","07.03","Vancouver Whitecaps FC","Toronto FC",1,3
"  FC Dallas               1-0  San Jose Earthquakes","Sat","07.03","FC Dallas","San Jose Earthquakes",1,0
"  Houston Dynamo          1-0  Columbus Crew SC","Sat","07.03","Houston Dynamo","Columbus Crew SC",1,0
"  Portland Timbers        0-0  Real Salt Lake","Sat","07.03","Portland Timbers","Real Salt Lake",0,0
"  Orlando City SC         1-1  New York City FC","Sun","08.03","Orlando City SC","New York City FC",1,1
"  Sporting Kansas City    1-1  New York Red Bulls","Sun","08.03","Sporting Kansas City","New York Red Bulls",1,1
"  Seattle Sounders FC     3-0  New England Revolution","Sun","08.03","Seattle Sounders FC","New England Revolution",3,0
"  Houston Dynamo          0-1  Orlando City SC","Fri","13.03","Houston Dynamo","Orlando City SC",0,1
"  Chicago Fire            0-1  Vancouver Whitecaps FC","Sat","14.03","Chicago Fire","Vancouver Whitecaps FC",0,1
"  Columbus Crew SC        2-0  Toronto FC","Sat","14.03","Columbus Crew SC","Toronto FC",2,0
"  FC Dallas               3-1  Sporting Kansas City","Sat","14.03","FC Dallas","Sporting Kansas City",3,1
"  Real Salt Lake          3-3  Philadelphia Union","Sat","14.03","Real Salt Lake","Philadelphia Union",3,3
"  Seattle Sounders FC     2-3  San Jose Earthquakes","Sat","14.03","Seattle Sounders FC","San Jose Earthquakes",2,3
"  New York City FC        2-0  New England Revolution","Sun","15.03","New York City FC","New England Revolution",2,0
"  Portland Timbers        2-2  LA Galaxy","Sun","15.03","Portland Timbers","LA Galaxy",2,2
"  New England Revolution  0-0  Montreal Impact","Sat","21.03","New England Revolution","Montreal Impact",0,0
"  Colorado Rapids         0-0  New York City FC","Sat","21.03","Colorado Rapids","New York City FC",0,0
"  Philadelphia Union      0-2  FC Dallas","Sat","21.03","Philadelphia Union","FC Dallas",0,2
"  Orlando City SC         0-1  Vancouver Whitecaps FC","Sat","21.03","Orlando City SC","Vancouver Whitecaps FC",0,1
"  Sporting Kansas City    0-0  Portland Timbers","Sat","21.03","Sporting Kansas City","Portland Timbers",0,0
"  LA Galaxy               1-1  Houston Dynamo","Sat","21.03","LA Galaxy","Houston Dynamo",1,1
"  New York Red Bulls      2-0  D.C. United ","Sun","22.03","New York Red Bulls","D.C. United",2,0
"  San Jose Earthquakes    2-1  Chicago Fire","Sun","22.03","San Jose Earthquakes","Chicago Fire",2,1
"  New England Revolution  2-1  San Jose Earthquakes","Sat","28.03","New England Revolution","San Jose Earthquakes",2,1
"  Montreal Impact         2-2  Orlando City SC","Sat","28.03","Montreal Impact","Orlando City SC",2,2
"  New York City FC        0-1  Sporting Kansas City","Sat","28.03","New York City FC","Sporting Kansas City",0,1
"  D.C. United             1-0  LA Galaxy","Sat","28.03","D.C. United","LA Galaxy",1,0
"  Columbus Crew SC        1-2  New York Red Bulls","Sat","28.03","Columbus Crew SC","New York Red Bulls",1,2
"  Vancouver Whitecaps FC  2-1  Portland Timbers","Sat","28.03","Vancouver Whitecaps FC","Portland Timbers",2,1
"  FC Dallas               0-0  Seattle Sounders FC","Sat","28.03","FC Dallas","Seattle Sounders FC",0,0
"  Houston Dynamo          0-0  Colorado Rapids","Sat","28.03","Houston Dynamo","Colorado Rapids",0,0
"  Chicago Fire            1-0  Philadelphia Union","Sun","29.03","Chicago Fire","Philadelphia Union",1,0
"  Real Salt Lake          2-1  Toronto FC","Sun","29.03","Real Salt Lake","Toronto FC",2,1
"  Orlando City SC         0-1  D.C. United ","Fri","03.04","Orlando City SC","D.C. United",0,1
"  Chicago Fire            3-2  Toronto FC","Sat","04.04","Chicago Fire","Toronto FC",3,2
"  Colorado Rapids         0-2  New England Revolution","Sat","04.04","Colorado Rapids","New England Revolution",0,2
"  New York Red Bulls      -  Montreal Impact","Sat","04.04","New York Red Bulls","Montreal Impact",NA,NA
"  Vancouver Whitecaps FC  2-0  LA Galaxy","Sat","04.04","Vancouver Whitecaps FC","LA Galaxy",2,0
"  Seattle Sounders FC     1-0  Houston Dynamo","Sat","04.04","Seattle Sounders FC","Houston Dynamo",1,0
"  Portland Timbers        3-1  FC Dallas","Sat","04.04","Portland Timbers","FC Dallas",3,1
"  San Jose Earthquakes    0-1  Real Salt Lake","Sun","05.04","San Jose Earthquakes","Real Salt Lake",0,1
"  Sporting Kansas City    3-2  Philadelphia Union","Sun","05.04","Sporting Kansas City","Philadelphia Union",3,2
"  Vancouver Whitecaps FC  2-2  Columbus Crew SC","Wed","08.04","Vancouver Whitecaps FC","Columbus Crew SC",2,2
"  FC Dallas               0-4  Colorado Rapids","Fri","10.04","FC Dallas","Colorado Rapids",0,4
"  New England Revolution  0-0  Columbus Crew SC","Sat","11.04","New England Revolution","Columbus Crew SC",0,0
"  Philadelphia Union      2-1  New York City FC","Sat","11.04","Philadelphia Union","New York City FC",2,1
"  D.C. United             2-2  New York Red Bulls","Sat","11.04","D.C. United","New York Red Bulls",2,2
"  Sporting Kansas City    0-0  Real Salt Lake","Sat","11.04","Sporting Kansas City","Real Salt Lake",0,0
"  Houston Dynamo          3-0  Montreal Impact","Sat","11.04","Houston Dynamo","Montreal Impact",3,0
"  San Jose Earthquakes    1-0  Vancouver Whitecaps FC","Sat","11.04","San Jose Earthquakes","Vancouver Whitecaps FC",1,0
"  Portland Timbers        0-2  Orlando City SC","Sun","12.04","Portland Timbers","Orlando City SC",0,2
"  LA Galaxy               1-0  Seattle Sounders FC","Sun","12.04","LA Galaxy","Seattle Sounders FC",1,0
"  New York City FC        1-1  Philadelphia Union","Thu","16.04","New York City FC","Philadelphia Union",1,1
"  New York Red Bulls      2-0  San Jose Earthquakes","Fri","17.04","New York Red Bulls","San Jose Earthquakes",2,0
"  D.C. United             1-1  Houston Dynamo","Sat","18.04","D.C. United","Houston Dynamo",1,1
"  Columbus Crew SC        3-0  Orlando City SC","Sat","18.04","Columbus Crew SC","Orlando City SC",3,0
"  FC Dallas               3-2  Toronto FC","Sat","18.04","FC Dallas","Toronto FC",3,2
"  Colorado Rapids         1-3  Seattle Sounders FC","Sat","18.04","Colorado Rapids","Seattle Sounders FC",1,3
"  Real Salt Lake          0-1  Vancouver Whitecaps FC","Sat","18.04","Real Salt Lake","Vancouver Whitecaps FC",0,1
"  LA Galaxy               2-1  Sporting Kansas City","Sat","18.04","LA Galaxy","Sporting Kansas City",2,1
"  Philadelphia Union      1-2  New England Revolution","Sun","19.04","Philadelphia Union","New England Revolution",1,2
"  New York City FC        0-1  Portland Timbers","Sun","19.04","New York City FC","Portland Timbers",0,1
"  Chicago Fire            1-0  New York City FC","Fri","24.04","Chicago Fire","New York City FC",1,0
"  Colorado Rapids         1-1  FC Dallas","Fri","24.04","Colorado Rapids","FC Dallas",1,1
"  Columbus Crew SC        4-1  Philadelphia Union","Sat","25.04","Columbus Crew SC","Philadelphia Union",4,1
"  New England Revolution  4-0  Real Salt Lake","Sat","25.04","New England Revolution","Real Salt Lake",4,0
"  Houston Dynamo          4-4  Sporting Kansas City","Sat","25.04","Houston Dynamo","Sporting Kansas City",4,4
