League, Season,   Dates,            Clubs,  Matches, Goals

ES 1,   2012/13,    ,   20, 380, 
ES 1,   2013/14,    ,   20, 380, 
ES 1,   2014/15,    ,   20, 380, 
ES 1,   2015/16,    ,   20, 380, 
ES 1,   2016/17,    ,   20, 380, 
ES 1,   2017/18,    ,   20, 380,
ES 1,   2018/19,    ,   20, 380, 983
ES 1,   2019/20,    ,   20, 380, ?

ES 2,   2019/20,    ,   22, 462, ?


PT 1,   2018/19,    ,   18, 306, 826
PT 1,   2019/20,    ,   18, 306, ?

NL 1,   2018/19,    ,   18, 306, 1061
NL 1,   2019/20,    ,   18, 306,  715


FR 1,   2014/15,    ,   20, 380, 
FR 1,   2015/16,    ,   20, 380, 
FR 1,   2016/17,    ,   20, 380, 
FR 1,   2017/18,    ,   20, 380,
FR 1,   2018/19,    ,   20, 380, 972
FR 1,   2019/20,    ,   20, 380, 704

FR 2,   2014/15,    ,   20, 380,



IT 1,   2013/14,    ,   20, 380, 
IT 1,   2014/15,    ,   20, 380, 
IT 1,   2015/16,    ,   20, 380,
IT 1,   2016/17,    ,   20, 380, 
IT 1,   2017/18,    ,   20, 380,
IT 1,   2018/19,    ,   20, 380, 1019
IT 1,   2019/20,    ,   20, 380, ?


